book,date,ticker,call,outcome,ret_pct,n_insiders,total_usd,max_single_usd,ceo,cfo,director_only,pct_placement,avg_purchase_px,runup_at_call_pct,days_filed_to_call,vintage_commit,note
ledger,2026-08-13,SMRT,long,,,2,148960,142260,1,0,0,0.0,1.42,1.5,2,9d36f0ca,
ledger,2026-08-14,BORR,long,,,2,6538388,6036750,0,0,1,0.0,4.02,9.6,0,c18ca3c9,
ledger,2026-08-17,ONON,long,,,2,3987581,1993790,1,0,0,0.0,30.67,5.0,0,ddc192a3,
ledger,2026-08-17,ANGX,long,,,3,2801123,912317,1,0,0,0.0,4.0,9.2,3,ddc192a3,
ledger,2026-08-17,ABCL,long,,,2,864937,481033,0,1,0,0.0,10.35,10.0,3,ddc192a3,
ledger,2026-08-17,REZI,long,,,2,622124,315224,1,0,1,0.0,20.52,-0.1,0,ddc192a3,
ledger,2026-08-17,BTDR,long,,,2,447000,226000,0,1,0,0.0,8.94,2.1,4,ddc192a3,
ledger,2026-08-17,FOCL,long,,,4,408500,237500,1,0,0,0.0,4.75,0.2,0,ddc192a3,
ledger,2026-08-17,PAL,long,,,3,300222,217200,0,1,0,0.0,5.46,0.7,3,ddc192a3,
ledger,2026-08-17,SELF,long,,,2,131848,32192,0,0,1,0.0,5.19,3.1,5,ddc192a3,
ledger,2026-08-17,ACON,long,,,4,85181,50059,1,0,0,0.0,2.37,4.0,0,ddc192a3,
ledger,2026-08-17,RICK,long,,,2,74437,50204,0,0,1,0.0,29.56,4.4,4,ddc192a3,
ledger,2026-08-17,ACCS,long,,,2,59480,49500,1,0,1,0.0,4.96,0.3,0,ddc192a3,
forecast,2026-08-03,XAIR,p=0.47,,,2,27724804,199999,1,1,0,0.0,5.76,,3,9526b6de,
forecast,2026-08-04,HCWB,p=0.46,0,,2,79995,59998,1,0,0,0.0,2.58,,4,409e957c,
forecast,2026-08-05,FUNC,p=0.52,,,4,12801,4724,1,1,1,0.0,45.77,,0,e5a18bb4,
forecast,2026-08-06,GBFH,p=0.51,,,4,1217199,280394,1,0,1,0.0,21.56,,1,d05d4e9f,
forecast,2026-08-07,BHRB,p=0.50,,,2,80618,73250,0,0,1,0.0,73.29,,3,acbdc4b6,
forecast,2026-08-10,BRVE,p=0.52,,,7,69394950,34560000,1,1,0,0.0,18.0,,3,f7a9f2ab,
forecast,2026-08-11,ELAN,p=0.51,,,2,333776,236850,0,1,1,0.0,23.51,,1,68388955,
forecast,2026-08-12,AMRC,p=0.51,,,2,1176199,995279,1,0,0,0.0,25.19,,1,97e50020,
forecast,2026-08-13,MTDR,p=0.48,,,2,239695,159755,1,0,1,0.0,51.12,,1,9d36f0ca,
forecast,2026-08-14,BORR,p=0.49,,,2,6538388,6036750,0,0,1,0.0,4.02,,0,c18ca3c9,
forecast,2026-08-17,ONON,p=0.51,,,2,3987581,1993790,1,0,0,0.0,30.67,,0,ddc192a3,
